ETS1  |en|Y|Sanctioned|Sanctioned|Vendor BPS Status is that partners country code is on our embargo list||2023-09-22 07:03:00
ETS2  |en|Y|Pending Review|Pending Review|Vendor BPS Status is that a hit on the sanction party list SPL11 was detected and has to be investigated||2023-12-07 19:22:00
ETS3  |en|Y|Sanctioned|Sanctioned|Vendor BPS Status is that partner was blocked due to SAP own SPL hit||2023-09-22 07:03:00
ETS4  |en|Y|Sanctioned|Sanctioned|Vendor BPS Status is marked as Sanctioned||2023-07-26 20:13:00
ETS6  |en|Y|Sanctioned|Sanctioned|Vendor BPS status is the Partner was blocked due to critical country list hit||2023-10-05 22:53:00
EX30  |en|Y|System Pending|System Pending|Vendor BPS System problem or system down||2023-12-07 19:22:00
EX31  |en|Y|Invalid|Invalid|Vendor BPS returned with error as missing mandatory fields||2023-09-22 07:03:00
EX32  |en|Y|Translation in progress|Translation in progress|Non latin or special characters present||2023-12-07 19:22:00
EX33  |en|Y|End Of Business|End Of Business|Vendor BPS Status sent with EOB flag||2023-11-09 20:12:00
P_FAIL|en|Y|Financial Posting Failed|Financial Posting Failed|Financial posting failed for the report||2016-02-20 04:18:00
P_HOLD|en|Y|Holding Payment|Hold Payment|Report payment is on hold||2005-06-21 15:50:00
P_NOTP|en|Y|Not Paid|Not Paid|Report has not been paid||2005-06-21 15:48:00
P_PAID|en|Y|Sent for Payment|Pay|Report has been Sent for Payment||2011-02-25 12:20:00
P_PAYC|en|Y|Payment Confirmed|Payment Confirmed|Some or all of the report expenses have been paid||2007-03-16 18:01:00
P_PROC|en|Y|Processing Payment|Process Payment|Report is in process to be paid||2005-06-21 15:48:00
Q_APPR|en|Y|Approved|Approve|Request has been approved||2010-10-16 03:56:00
Q_CANC|en|Y|Cancelled|Cancelled|This request is cancelled||2011-10-22 01:49:00
Q_EXTV|en|Y|Pending External Validation|Pending External Validation|Request is pending external validation||2012-06-23 01:46:00
Q_FILE|en|Y|Submitted|Submitted|Request has been submitted||2010-08-21 08:48:00
Q_NOTF|en|Y|Not Submitted|Not submitted|Request has not been submitted||2011-06-18 03:48:00
Q_PBDG|en|Y|Pending Budget Approval|Pending Budget Approval|Request approval is pending Budget approval||2012-06-23 01:46:00
Q_PEBK|en|Y|Approved - Pending Booking|Approved - Pending Booking|Resquest is approved - Pending Booking||2014-05-17 03:10:00
Q_PECO|en|Y|Pending Cost Object Approval|Pending Cost Object Approval|Request approval is pending Cost object approval||2012-06-23 01:46:00
Q_PEND|en|Y|Submitted & Pending Approval|Submitted & Pending Approval|Request is pending manager approval||2010-08-21 08:48:00
Q_RESU|en|Y|Sent Back to Employee|Sent Back to Employee|Request needs to be resubmitted||2010-08-21 08:48:00
Q_TEXP|en|Y|Approval Time Expired|Approval Time Expired|Request expired in approval queue||2010-08-21 08:48:00
R_ACCO|en|Y|Accounting Review|Accounting Review|Payment request is pending reviews||2005-06-21 15:51:00
R_APPR|en|Y|Approved|Approve|Payment request has been approved||2005-06-21 15:51:00
R_CANC|en|Y|Cancelled|Request cancelled|This request is cancelled||2009-06-19 20:36:00
R_EXTR|en|Y|Extracted|Sent for Payment|Payment request has been extracted to the payment system||2005-06-21 15:51:00
R_FAIL|en|Y|Financial Posting Failed|Financial Posting Failed|Payment request was sent to the payment system that returned a failure||2016-02-20 04:18:00
R_FILE|en|Y|Submitted|Submitted|Payment request has been submitted||2005-06-21 15:51:00
R_FIXO|en|Y|Fix Owner|Fix Owner|The assigned owner of this Payment Request is incorrect||2005-06-21 15:51:00
R_IHLD|en|Y|Require Hardcopy Receipts|Hold for Invoice HardCopy|Payment Request extract is pending Invoice HardCopy||2015-02-07 02:41:00
R_NOTF|en|Y|Not Submitted|Not Submitted|Payment request has not been submitted||2005-06-21 15:51:00
R_NOTP|en|Y|Not Paid|Not Paid|Payment request has not been paid||2005-06-21 15:51:00
R_PAID|en|Y|Paid|Payment Confirmed|Payment system has returned data that confirms the vendor was paid for this payment request||2005-06-21 15:51:00
R_PBDG|en|Y|Pending Budget Approval|Pending Budget Approval|Payment request approval is pending Budget approval||2019-01-29 23:40:00
R_PECO|en|Y|Pending Cost Object Approval|Pending Cost Object Approval|Request approval is pending Cost object approval||2009-01-16 21:35:00
R_PEND|en|Y|Pending Approval|Pending Approval|Payment request is pending manager approval||2005-06-21 15:51:00
R_PROC|en|Y|Pending Payment|Pending Payment|Payment request has passed all of its validations, but has yet to be extracted to the payment system||2005-06-21 15:51:00
R_PVAL|en|Y|Pending Validation|Pending Validation|Payment Request is pending prepayment validation||2005-06-21 15:51:00
R_PVLF|en|Y|Pending Validation Fail|Pending Validation Fail|Pending validation step failed||2023-12-07 19:22:00
R_RESU|en|Y|Sent Back To Employee|Send Back to Employee|Payment request needs to be resubmitted||2005-06-21 15:51:00
R_TEXP|en|Y|Approval Time Expired|Approval Time Expired|Request expired in approval queue||2005-06-21 15:52:00
R_VAPP|en|Y|Vendor Approval|Vendor Approval|Payment Request is pending vendor approval||2005-06-21 15:51:00
R_VOID|en|Y|Voided|Request voided|This request is voided||2007-11-10 03:05:00
T_APPR|en|Y|Approved|Approve|Authorization Request has been approved.||2008-03-14 17:20:00
T_AUTH|en|Y|Authorized|Authorized|Authorization Request has been fully authorized.||2008-03-14 17:20:00
T_FILE|en|Y|Submitted|Submitted|Authorization Request has been submitted||2008-03-14 17:20:00
T_NOTF|en|Y|Not Submitted|Not Submitted|Authorization Request has not been submitted||2008-03-14 17:20:00
T_PEND|en|Y|Pending Approval|Pending Approval|Authorization Request is pending manager approval||2008-03-14 17:20:00
T_PVAL|en|Y|Pending Authorization|Pending Authorization|Authorization Request has been approved by all approvers.||2008-03-14 17:20:00
T_RESU|en|Y|Sent Back To Employee|Send Back to Employee|Authorization Request needs to be resubmitted||2008-03-14 17:20:00
T_REVW|en|Y|Administrator Review|Pending Authorization administrator|Authorization Request is pending Authorization administrator||2008-03-14 17:20:00
U_ACCO|en|Y|Pending Processor Review|Pending Processor Review|Purchase request is pending processor review||2013-01-19 03:40:00
U_APPR|en|Y|Approved|Approve|Purchase request has been approved||2013-01-19 03:40:00
U_FILE|en|Y|Submitted|Submitted|Purchase request has been submitted||2013-01-19 03:40:00
U_NOTF|en|Y|Not Submitted|Not Submitted|Purchase request has not been submitted||2013-01-19 03:40:00
U_PBDG|en|Y|Pending Budget Approval|Pending Budget Approval|Purchase request approval is pending Budget approval||2019-01-29 23:40:00
U_PECO|en|Y|Pending Cost Object Approval|Pending Cost Object Approval|Purchase Request approval is pending Cost object approval||2013-01-19 03:40:00
U_PEND|en|Y|Pending Approval|Pending Approval|Purchase request is pending manager approval||2013-01-19 03:40:00
U_RESU|en|Y|Sent Back To Employee|Send Back to Employee|Purchase request needs to be resubmitted||2013-01-19 03:40:00
U_TEXP|en|Y|Approval Time Expired|Approval Time Expired|Purchase Request expired in approval queue||2013-07-20 02:10:00
U_VAPP|en|Y|Vendor Approval|Vendor Approval|Purchase Request is pending vendor approval||2013-03-23 02:06:00
V_INVD|en|Y|Invalid|Invalid|Vendor BPS Status is marked as Invalid||2023-07-06 20:47:00
W_SKIP|en|Y|Auto Approved|Auto Approved|Auto Approved||2005-06-21 15:48:00
